gvkey,fyear,TFP
1117,2016,-.2223894
1118,1975,-.2665665
1118,1976,-.3337128
1118,1977,-.2970193
1118,1978,-.3230295
1118,1979,-.2887712
1118,1980,-.3199989
1118,1981,-.2863637
1118,1982,-.3257062
1118,1983,-.3094891
1120,1971,-.3788386
1120,1972,-.3582403
1120,1973,-.4223365
1120,1974,-.4725835
1120,1975,-.5596449
1120,1976,-.5019391
1120,1977,-.484305
1120,1978,-.5150123
1120,1979,-.4043579
1120,1980,-.5564596
1120,1981,-.6236563
1120,1982,-.6612356
1120,1983,-.5031583
1120,1984,-.3458598
1120,1985,-.3828532
1120,1986,-.3292678
1120,1987,-.3145555
1121,1977,-.7076063
1121,1978,-.6172118
1121,1979,-.3996526
1121,1980,-.5470893
1121,1981,-.5592303
1121,1982,-.3388523
1121,1983,-.4223235
1121,1984,.0714798
1121,1985,-.2044949
1121,1986,-.3684676
1121,1987,-.5526628
1121,1988,-.5490916
1121,1989,-.5405428
1121,1990,-.6546612
1121,1991,-.5477489
1121,1992,-.7207329
1121,1993,-.6359125
1121,1994,-.5581467
1121,1995,-.5722939
1121,1996,-.2899534
1121,1997,-.3191958
1121,1998,-.5296194
1121,1999,-.5378031
1121,2000,-.5033416
1121,2001,-1.408298
1121,2002,-.9248677
1121,2003,-.6448143
1121,2004,-.5810887
1121,2005,-.6196914
1121,2006,-.7192197
1121,2007,-.603708
1121,2008,-1.080289
1121,2009,-1.094211
1121,2010,-.9048672
1121,2011,-.5717824
1121,2012,.0072015
1121,2013,-.2908867
1121,2014,-.6075095
1121,2015,-1.175373
1121,2016,-.9506041
1122,1972,-.4518558
1122,1973,-.3692235
1122,1974,-.4653186
1122,1975,-.5822242
1122,1976,-.576937
1122,1977,-.4981891
1122,1978,-.4280955
1122,1979,-.3341173
1122,1980,-.2999083
1122,1981,-.0811535
1122,1982,-.2376981
1122,1983,-.2590063
1122,1984,-.3488854
1122,1985,-.3905366
1122,1986,-.193643
1124,1966,.0231134
1124,1969,-.3556397
1124,1970,-.1167127
1124,1971,-.2862512
1124,1972,-.3125629
1124,1973,-.3560944
1124,1974,-.2126626
1124,1975,-.0889624
1124,1976,-.3898661
1124,1977,-.3355674
1124,1978,-.3105342
1124,1979,-.3933975
1124,1980,-.2945734
1124,1981,-.3343976
1124,1982,-.2727658
1124,1983,-.1701607
1124,1984,-.1570885
1124,1985,-.2119323
1124,1986,-.2570871
1126,1976,-.7018611
1126,1977,-.7237455
1126,1978,-.7767048
1126,1979,-1.21425
1126,1980,-1.750317
1126,1981,-2.102618
1126,1982,-.9391431
1131,1969,-.4969783
1131,1970,-.4869395
1131,1971,-.5494801
1133,1963,-.5342827
1133,1964,-.4367953
